-o cc_algo (Client),-o cc_algo (Server),-o cfcw (Client),-o cfcw (Server),-o init_max_data (Client),-o init_max_data (Server),-o init_max_streams_bidi (Client),-o init_max_streams_bidi (Server),-o init_max_streams_uni (Client),-o init_max_streams_uni (Server),-o max_cfcw (Client),-o max_cfcw (Server),-o max_sfcw (Client),-o max_sfcw (Server),-o sfcw (Client),-o sfcw (Server),Goodput (kbps),Test Number
2,1,109218,32913,12176937,12299472,106,108,85,114,20132659,20132659,78211,110414,55754,70645,45289.62636066891,1
3,1,92944,20518,10487494,10455101,95,84,113,91,20132659,20132659,76868,75372,64605,26589,46183.06061169952,2
3,1,39502,118829,14444335,12439270,103,105,99,83,20132659,20132659,20852,98889,58019,32678,46132.56927907962,3
1,1,40711,59211,13822138,12222289,81,90,120,86,20132659,20132659,124385,42456,112358,66520,45516.71673974605,4
1,2,81536,56541,11315302,15365442,90,119,105,107,20132659,20132659,22634,64293,76923,51259,44712.91570190139,5
2,3,83544,92603,12240054,10327424,80,104,85,112,20132659,20132659,34665,70578,21401,114200,44096.26039509236,6
3,3,45902,119202,14222688,12889245,80,119,91,109,20132659,20132659,44207,99507,67358,64643,45125.80839167309,7
1,2,33331,99485,11660415,12700050,95,111,109,102,20132659,20132659,35130,120622,125261,67402,44901.12619363679,8
3,2,30422,51554,12002539,14315413,103,89,99,100,20132659,20132659,130245,52125,28959,80605,43652.084589818274,9
2,2,65663,71069,15442324,14422364,89,84,87,110,20132659,20132659,86509,80445,100912,116256,44248.777418090576,10
3,1,129508,21208,10230019,10060862,111,80,116,92,20132659,20132659,100311,20969,89635,24279,45449.54020080219,11
3,1,62609,125171,15860881,11514149,119,97,97,81,20132659,20132659,61900,89917,47509,18698,45167.62446176187,12
3,1,98697,95880,13702554,11216137,97,97,110,92,20132659,20132659,59659,127654,41867,39623,45413.715052299405,13
3,1,101646,37999,10041336,13665026,111,101,95,80,20132659,20132659,107004,99631,66739,37175,46260.025587859,14
3,1,103453,16651,10328230,13873751,113,91,93,90,20132659,20132659,104361,82518,81419,40246,46304.380105573844,15
3,1,120804,38432,10806386,13824888,116,93,93,87,20132659,20132659,103094,103367,81749,44429,46062.729287962895,16
3,3,107972,39148,10025307,15733600,111,98,91,96,20132659,20132659,112276,86366,94398,90044,45012.921227731276,17
3,1,17512,17823,13020776,13638301,112,101,81,118,20132659,20132659,95345,57382,102747,49394,46076.54369676494,18
1,1,112909,32111,10990101,15080893,120,113,104,81,20132659,20132659,116849,113664,74385,90738,45848.0314594828,19
2,3,95796,47607,12661502,13494238,106,94,95,87,20132659,20132659,89481,36400,38909,56214,44815.17750342847,20
3,1,77931,71032,11232989,14686805,115,102,88,94,20132659,20132659,111954,91456,115378,35801,46177.97600108335,21
3,1,95441,17664,10484548,13223367,92,85,103,89,20132659,20132659,70497,74085,62554,28990,45534.33283032797,22
3,1,91030,27246,10628163,11466799,99,86,112,98,20132659,20132659,80474,76526,83584,19243,45481.821331423394,23
3,1,67629,43053,10133339,14041445,108,82,102,84,20132659,20132659,104652,84357,69538,40106,46176.01872448269,24
3,1,118728,26664,11523591,10777479,86,89,95,104,20132659,20132659,69486,63619,52069,56288,46089.2521698234,25
3,1,105456,27281,10847960,12018649,115,95,107,90,20132659,20132659,90825,92831,67376,25766,44867.95986994155,26
3,1,128070,16517,10484791,13229194,102,91,115,96,20132659,20132659,60401,108629,87167,29945,46211.198737822786,27
3,3,129402,82328,10015151,13297998,102,92,119,96,20132659,20132659,53002,109009,86788,44972,43955.797966798695,28
2,2,120319,61005,11696504,14823445,108,100,81,80,20132659,20132659,120673,130131,96807,128109,43487.58868741077,29
1,1,103678,33731,11088345,14120883,106,107,89,84,20132659,20132659,80202,105544,80069,33963,45595.3903509797,30
2,1,113659,32924,12301182,12987092,113,87,101,94,20132659,20132659,49819,117188,107636,76599,46148.3549975024,31
3,1,87411,17088,10439188,13779888,99,91,114,90,20132659,20132659,62488,69395,60521,25118,46163.770450394324,32
3,1,101042,24488,10517859,12464121,95,80,116,99,20132659,20132659,77259,97562,90776,17082,46142.44043254577,33
3,1,89251,42960,10763518,12118116,108,83,98,103,20132659,20132659,111672,81970,55741,34144,45342.55253365851,34
3,1,124864,23147,10358901,13262475,105,88,117,86,20132659,20132659,95995,95698,74200,57452,45890.795700101204,35
3,1,73848,32432,11337316,12590916,117,104,113,93,20132659,20132659,128649,109192,63230,29197,45590.260869565216,36
1,1,113880,16425,11017440,14550612,84,95,106,96,20132659,20132659,106243,121153,73193,46747,45572.55197029415,37
