--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr,bbr,8,9,16192936,12217920,1196292,1804689,20300381,20188749,102,108,101,103,29236214,30001822,36653.9645503027,1
cubic,bbr2,12,10,11057503,12482899,1918247,1709615,14968781,13296641,81,89,84,99,27207408,22403083,35051.4075120235,2
reno,cubic,11,12,15741146,16696386,1387010,1573645,13478142,14552943,89,82,98,92,21796945,22638048,31304.408832517507,3
cubic,cubic,12,8,11592977,11257123,1772834,1173518,15555376,18405515,115,80,95,96,24085228,28311381,30850.610457996117,4
bbr2,cubic,8,8,12773897,15262294,1710848,861663,12984305,20691741,95,83,107,118,21177527,23086174,34371.342573205904,5
bbr2,reno,8,9,15081697,11349829,704076,1336106,21321639,15073277,105,102,106,100,27757620,22768557,25660.486327023293,6
cubic,reno,10,12,12068990,14172335,1581021,1280503,12408754,18678680,110,106,105,106,22336584,21694395,33499.29216509625,7
reno,reno,9,9,15056711,15920681,1776746,1675389,13081052,21754459,83,117,113,90,24539181,29208256,24328.704891983216,8
cubic,bbr,8,10,16248761,14196441,1691871,1106611,12641565,20981975,118,119,100,85,25135712,27380061,36973.276975357345,9
reno,reno,9,11,14049864,12347877,1001479,1981211,14449233,15271991,88,98,88,117,28028888,25165659,24841.5694777637,10
bbr,bbr,10,11,10211476,14079931,1428234,815914,17881028,17428102,120,120,120,80,26010630,27134421,36596.28601667741,11
bbr,bbr,8,10,16617568,10198511,1144104,1060132,18433372,20025196,100,111,92,108,29876231,29923935,36323.802273926914,12
bbr,bbr,9,9,16573501,13226336,1164357,1492344,21343076,19786576,108,112,102,80,29869424,26986481,36371.61745277517,13
bbr,bbr,8,10,13881069,14548096,1989348,1989070,18690322,21647487,101,114,113,87,25873078,25542345,36961.010018139896,14
cubic,bbr,9,11,13694804,14576929,1918391,1015755,17358658,21643241,119,116,114,87,25709588,25030455,36289.40476365578,15
bbr,bbr2,8,10,14541328,15467359,1991019,1947932,18719830,16447817,97,96,111,85,23435338,26297950,35921.33164787656,16
cubic,bbr,11,11,12995988,13482213,1569611,1444180,16225353,18258238,113,120,120,85,26442408,24051579,36376.80656643099,17
bbr2,bbr,9,10,14948987,14873403,1640845,736035,11757762,11766853,92,114,90,93,23185356,20721926,36181.388983418925,18
cubic,bbr,10,10,15682416,13511127,1998197,1175515,19369219,21001974,115,105,81,88,24901568,26223773,34831.06001154308,19
bbr,bbr2,8,11,14150027,16222669,1825418,1007641,16642118,19261008,106,93,96,83,26805814,28236703,34744.356729263825,20
cubic,bbr,11,9,13216485,14005982,1487811,1206250,20082516,16631854,112,111,110,111,25233488,27938838,36370.939349740984,21
bbr,bbr,8,9,15915766,12224978,1257195,1832412,20239258,20301354,104,107,101,100,28712476,30026335,37193.27306343414,22
bbr,bbr,8,10,15771424,12886127,1315840,1885544,20013129,21076348,103,108,116,95,28889208,28989908,34189.704053069276,23
bbr,bbr,9,8,16053219,11524998,1009582,1811837,17346145,19481118,99,116,103,112,28465848,24430593,35949.487516943846,24
bbr,bbr,8,9,15357047,14928824,1287198,1650425,19206451,20647503,93,102,109,98,26981326,25980750,35896.199549233235,25
bbr,bbr,9,9,12425319,10137206,1519902,1840507,20895132,21762912,107,113,99,90,23938202,27226940,35149.958936024,26
reno,bbr,8,10,14544200,14468860,1685377,1989214,14177528,17503586,117,118,94,83,25452813,29159386,36435.09242541186,27
